Name,Rolle,Original_Rolle,ID,Titel,Art,Zielgruppe,Chronologische_Sortierung,Herkunftsland
Prescillia Amany Kouamé,Performance,Darsteller:innen,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Prodromos Tsiavos,Produktion & Management,Onassis Culture Executive Producers,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Proteatro,Förderung & Partner,Unterstützt durch,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
RAW Material Company,Förderung & Partner,Unterstützt durch,A_017,Mutikkappatâta,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,28,Senegal
Rachel Lim,Produktion & Management,Producer,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Rachel Rose,Assistenz,Künstlerische Assistenz,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
Ramsi Lehner,Darstellende,Darstellende,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Rangga Yudhistira,Video & Medien,Video & Foto,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Ranil Goonawardene mit Palitha Abeyrathne,Musik & Sound,Original-Partitur,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Rattan Deep Singh,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Ray Tseng,"Co-Creators, Darstellende, Licht, Technik","Co-Creators, Darstellende, Internationale Technische Direktion, Lichtdesign",A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Retno Intiani,Kostüm & Maske,Kostümbild,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Retno Sulistyorini,Performance,Tänzer:innen,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Ricardo Dueñas,Robotic Design,Robotic Design,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Ricardo Pacheco,Musik & Sound,Sounddesign,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Ricardo Rodríguez,Video & Medien,Schnitt,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Rigved,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Rikki Beadle-Blair MBE,Regie,Regie,A_006,Nkoli: The Vogue-Opera,Zeitgenössische Oper,Erwachsene & Junge Erwachsene,13,Südafrika
River Lin,Künstlerischer Mitarbeiter,Künstlerischer Mitarbeiter,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Riverbed Theatre,Immersive Theater Design,Immersive Theater Design,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Riverbed Theatre Ltd.,Produktion & Management,Koproduktion,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Roberta Pesci,Kostüm & Maske,Kostümbild,A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Roberto Gómez,Danksagungen,Danksagungen,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Rodolfo Armijo,Darstellende,Darstellende,A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Rolf Abderhalden,"Bühne & Ausstattung, Regie, Text & Dramaturgie, Video & Medien","Konzept, Regie, Dramaturgie, Szenografie, Video",A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Romane Bocquet,Produktion & Management,Technische Leitung,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Ruwanthie de Chickera,"Regie, Text & Dramaturgie",Text & Regie,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
SATO Naoko,Created and Performed by,Created and Performed by,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
SUIKA KEIMAI (HIROSE Tact,Created and Performed by,Created and Performed by,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Saber El Sayed (Assistenz & Bedienung),Licht,Lichtdesign,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Salma Bordes,Bühne & Ausstattung,Szenografie,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
Sammy Lin,Bühne & Ausstattung,Stage Technical Consultant,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Samuel Sundaralingam,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Santiago Badillo,"Bühne & Ausstattung, Licht","Szenografie, Lichtdesign",A_108,Los bienes visibles,Performance,Erwachsene,12,Argentinien
Santiago Tobar,"Bühne & Ausstattung, Puppenbau & Design, Regie","Regie, Figurendesign, Szenografie",A_068,Antuco,Figurentheater,Erwachsene & Junge Erwachsene,10,Chile
Sarah Williams,"Regie, Stellvertretende-","Stellvertretende-, Probenregie",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Sasindu Randeepa,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Sawsan Al-Idris,Darstellende,Darstellende,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Sayed Naggar,Produktion & Management,Produktionsteam,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Seohyo Hong,Technik,Technische Direktion,A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Seoul Museum of Art (SeMA),Förderung & Partner,Kooperation,A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Shaghayegh Lotfali Khan Mohajer,Darstellende,Darstellende,A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Shahd Ahmed Al-Harbi,Bühne & Ausstattung,Szenografie,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Shakiba Hosseini,Darstellende,Darstellende,A_064,The Shadows,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,24,Iran
Shalaka Redkar,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Sharon Day,Performance,Mit den Stimmen von,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Shashini Don Pawulu,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Shenzhen Ming Culture Communication Co. LTD,Förderung & Partner,Unterstützt durch,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Sheyang Sibo,Darstell:innen,Darstell:innen,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Shiou-Ling Sheng,"Bühne & Ausstattung, Darstellende","Darstellende, Scenic Painting",A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Shiva Sharma,Produktion & Management,Produktion,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Shivani Darbari,Produktion & Management,Produktion,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Sia-Jhih Lin,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Simon Hosie,Bühne & Ausstattung,Szenografie,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Simón Yao Ui,Performance,Teilnehmende,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Singapore,Förderung & Partner,Unterstützt durch:,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Singh,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Snigdha Pious,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Société de développement des entreprises culturelles,Technik,With the support of,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Société de verdissement du Montréal métropolitain,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Sonakshi Singh,Darstellende,Darstellende,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Sonia Mutumbajoy,Performance,Mit den Stimmen von,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Sonoko Hashimoto,"Darstellende, Regie","Darstellende, Regieassistenz",A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Sophia Sandoval,Text & Dramaturgie,Transkription,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Soro Badrissa,"Darstellende, Puppenbau & Design, Text & Dramaturgie","Darstellende, Figurenbau, Figurendesign, Idee",A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
South Street Boatbuilders,Handwerker:innen,Handwerker:innen,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Stages Ensemble,Entwicklung,Entwicklung,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Stages Theatre Group,Produktion & Management,Producer,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Stefanie Robinson,"Performance, Text & Dramaturgie",Autor:in / Darsteller:innen,A_023,Paper Planet,Installation,Familien,3,Australien
Studio A.M,Video & Medien,Video,A_090,Except That You Cannot See Me,Installative Performance,Erwachsene & Junge Erwachsene,27,Südkorea
Su-Ling Yeh,Produktion & Management,Riverbed Theatre Executive Producer,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Sudeera Chinthaka,Darstellende,Darstellende,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Sudhan Singh Rajput,Musik & Sound,Sound,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Sue Giles,Regie,Regie,A_023,Paper Planet,Installation,Familien,3,Australien
Sunethra Bandaranaike Trust,Förderung & Partner,Unterstützt durch,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Swiss Agency for Development and Cooperation in Moldova,Förderung & Partner,Unterstützt durch,A_076,MEMORY DISTORTION. M I X T A P E,Musiktheater,Erwachsene & Junge Erwachsene,16,Moldau
Sylvie Dubé,Handwerk: Rindenkörbe,Handwerk: Rindenkörbe,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
TANZ | MODERNE | TANZ,Förderung & Partner,Kooperationspartner,A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
TBC,Licht,Lichttechnik,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Taita Jose Becerra,Musik & Sound,"„Nibi Song“, Gesang",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Taita Luciano Mutumbajoy,Performance,Mit den Stimmen von,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Taiwan Contemporary Cultural Lab(C-LAB),Förderung & Partner,In partnership with,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Taiwan Creative Content Agency,Technik,With the support of,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Tamasi performing arts collective (Schweden),Förderung & Partner,Unterstützt durch,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Tang Fu-Kuen,Text & Dramaturgie,Dramaturgie,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Tanya Tagaq,Text & Dramaturgie,Autor:in,A_061,Split Tooth: Saputjiji,Musiktheater,Erwachsene & Junge Erwachsene,4,Kanada
Teatro Viriato,Produktion & Management,Koproduktion Residenz,A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
Theater Chemnitz,Förderung & Partner,Kooperationspartner,A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Theater der Welt Chemnitz,Produktion & Management,Koproduktion,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
This Project is supported by the TAICCA’s Innovative Content Grant for International Co-Funding or Co-Productions,Technik,With the support of,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Thomas Azoug,Technik,Software Technical Director,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Tian Gebing,Regie,Regie,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Tien-Hung Wang,Licht,Lighting design,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Tiffany Lay,Produktion & Management,Internationale Produktion,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Tim Humphrey,Musik & Sound,Sounddesign,A_023,Paper Planet,Installation,Familien,3,Australien
Tim Wells,"Performance, Text & Dramaturgie",Autor:in / Darsteller:innen,A_023,Paper Planet,Installation,Familien,3,Australien
Tiziana Manfredi,Video & Medien,Video,A_017,Mutikkappatâta,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,28,Senegal
Tony Bonani Miyambo,"Performance, Produktion & Management, Text & Dramaturgie","Producer, Darsteller, Story",A_104,Kafka's Ape,Physical Theatre,Erwachsene,8,South Africa
Tribal Spirit Music,Musik & Sound,Drums,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Trinetra Tiwary,Licht,Licht,A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Trust Africa,Förderung & Partner,Unterstützt durch,A_017,Mutikkappatâta,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,28,Senegal
Trypas Corassão AC,Produktion & Management,Produktion,A_055,Go Back to Where You Came From,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,14,Portugal
UJ Arts and Culture Faculty of Art,Förderung & Partner,Unterstützt durch,A_104,Kafka's Ape,Physical Theatre,Erwachsene,8,South Africa
United Science Organization,Förderung & Partner,Unterstützt durch,A_098,"Dear Children, Sincerely… 7 Decades of Sri Lanka",Performance,Erwachsene & Junge Erwachsene,17,Sri Lanka
Valentina Sartori,Kostüm & Maske,Kostümbild,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Vanessa Cheng,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Victor Groot,Performance,Technical Artist,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Viraj Chavan,Musik & Sound,Tabla (Instrument),A_030,JO DOOBA SO PAAR,Musiktheater,Erwachsene & Junge Erwachsene,18,Indien
Véronik Picard,Text & Dramaturgie,"Recherche, dramaturgischer Text",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
WATANABE Naoka),"Created and Performed by, Shadow and Masks","Created and Performed by, Shadow and Masks",A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
WHITELIGHT,Created and Performed by,Created and Performed by,A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Waira Nina,"Performance, Regie, Text & Dramaturgie","Co-Autorinnen, Co-Regie, Darsteller:innen",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Wanderson Santos,"Bühne & Ausstattung, Regie","Regieassistenz, Stage Management",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Wang Tiange,Technik,Technische Direktion,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Wang Yanan,"Choreografie, Darstell:innen, Produktion & Management","Choreografie, Producer, Darstell:innen",A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Wei-Hsuan Huang,"Musik & Sound, Video & Medien",Audio- & Videobedienung,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Wen-Tse Chen,Licht,Lighting design,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Ximena Vargas,Video & Medien,Live Video,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Xin-Qi Chen,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
YAMADA Hiroki (ayamelab),"Created and Performed by, Produktion & Management","Created and Performed by, Creative Coordinator",A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
Yaragua Nukak,Performance,Teilnehmende,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
Yen Ting-Ju,Kostüm & Maske,Kostümbild,A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Yennu Ariendra,Musik & Sound,Composer & Sounddesign,A_003,Stream of Memory,Figurentheater,Familien,7,Indonesien
Yeple Yeple Toussaint,Darstellende,Darstellende,A_012,LA BOULE BLEUE,Figurentheater,Familien,31,Elfenbeinküste
Yohayna Hernández,Text & Dramaturgie,Dramaturgie,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Yoko Ando,"Choreografie, Regie","Regie, Choreografie",A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Yolanda Jacanamijoy Mutumbajoy,Musik & Sound,"„Nibi Song“, Gesang",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Yoshika Tsunaiguchi,"Darstellende, Produktion & Management","Darstellende, Produktionsmanagement",A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
You Tee,"Licht, Technik","Internationale Technische Direktion, Lichtdesign",A_081,FAMILY TRIANGLE ,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,6,Taiwan
Yousef Ahmed Al-Harbi,"Regie, Text & Dramaturgie","Text, Regie",A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
Yso,Kostüm & Maske,Kostümbild,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Yu-Chen Chien,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Yu-Hsin Yu,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Yu-Jun Wang,Musik & Sound,Music,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Yu-Ling Wang,Darstellende,Darstellende,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Yuchen Xie,"Regie, Text & Dramaturgie","Regieassistenz, Übersetzung",A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Yuyu Maruyama,"Choreografie, Darstellende","Choreografie Instruktionen, Darstellende",A_075,Tanzende Nachbarn,Performance,Familien,30,"Japan, Deutschland"
Zhao Tong,Licht,Lichtdesign,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
Zhong Ben Zhi,Förderung & Partner,Sponsor,A_050,氣團 / Luftmasse,Installative Performance,Erwachsene & Junge Erwachsene,9,China
and Festspillene i Nord-Norge (Norway).,Förderung & Partner,Unterstützt durch,A_032,In a Strange Place,Installation,Erwachsene & Junge Erwachsene,5,Kanada
and Houra Al-Hazim,Darstellende,Darstellende,A_059,Speak So I May See You,Performance,Erwachsene,33,Saudi-Arabien
and thanks to the contribution of Soverdi,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
as well as the Canada Council for the Arts,Förderung & Partner,Unterstützt durch,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
contributing to the objectives of the Plan Climat Montréal 2020-2030.,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
coproduction Djarama (Sénégal) Motus (Canada) /  We would like to thank the CITF for its valuable support through its international co-production programme,Förderung & Partner,Unterstützt durch,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
de Scènes de territoire / Scène Conventionnée d’Intérêt National – Agglo2b,Förderung & Partner,Unterstützt durch,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
de la fondation E.C.ART Pomaret et de la SPEDIDAM,Förderung & Partner,Unterstützt durch,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
freshness and clean air for future generations,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
from a residency at Kokolampoe Drama Center in Saint-Laurent du Maroni (French Guiana) and from a sound creation residency at Centro de la escucha de Sibaté (Columbia).,Förderung & Partner,Unterstützt durch,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
hoshifune (KOYANO Tetsuro,"Created and Performed by, Shadow and Masks","Created and Performed by, Shadow and Masks",A_085,KUSTE,Interdisziplinäre Performance,Erwachsene & Junge Erwachsene,34,Japan
la MC93 – Maison de la Culture de Seine-Saint-Denis,Produktion & Management,Koproduktion,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
la Scène nationale d’Aubusson,Förderung & Partner,Unterstützt durch,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
las Artes y los Saberes de Colombia and Mapa Teatro,Produktion & Management,Produktion,A_048,Vortex Nukak,Immersives Theater,Erwachsene & Junge Erwachsene,32,Kolumbien
le TAP – scène nationale de Poitiers,Produktion & Management,Koproduktion,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
le soutien en résidence de création de la vie brève – Théâtre de l’Aquarium et la participation de la Scène nationale de l’Essonne,Förderung & Partner,Unterstützt durch,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
les 3T – scène conventionnée de Châtellerault et l’OARA,Produktion & Management,Koproduktion,A_079,La Grande Ourse,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,29,Frankreich
scène nationale – Mulhouse (Frankreich).,Förderung & Partner,Unterstützt durch,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
the Conseil des Arts et des Lettres du Québec and the Conseil des Arts de Longueuil.,Förderung & Partner,Unterstützt durch,A_018,Parole d'eau / Water Words,Figurentheater,Kinder,21,"Kanada, Senegal"
Ägypten,Produktion & Management,Produktion,A_089,Before the Revolution,Zeitgenössisches Theater,Erwachsene & Junge Erwachsene,20,Ägypten
Édouard Lanctôt-Benoît,Creative Development,Creative Development,A_005,BLUR,Extended Reality (XR),Erwachsene & Junge Erwachsene,26,"Canada, Taïwan, Greece"
Élouan O’Bomsawin-Galand,Performance,Mit den Stimmen von,A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
Émilie Monnet,"Performance, Regie, Text & Dramaturgie","Co-Autorinnen, Co-Regie, Darsteller:innen",A_031,Nigamon/Tunai,Installative Performance,Erwachsene & Junge Erwachsene,23,"Kanada, Kolumbien"
